,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome
0,146016014,190853584.0,Texas Saloon,3.5,789,2.5,POINT (12.429359229391224 41.80017805),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
2,107132432,23322316.0,Pizza Gegè,4.0,74,1.0,POINT (12.4740094 41.8264266),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
23,107281163,27528185.0,Pizza alla Pala L'Angoletto,3.5,4,1.0,POINT (12.4699624 41.7669096),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
43,139760549,159009107.0,Queen's Restaurant,4.0,56,2.5,POINT (12.4263197 41.7895865),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
53,146016014,190853584.0,Foodisfaction,3.5,222,2.5,POINT (12.429359229391224 41.80017805),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
68,247474412,735147204.0,Checco dello Scapicollo,3.5,1080,2.5,POINT (12.5008562 41.8077309),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
69,34699286,2897270432.0,Columbus Ristorante,3.0,69,1.0,POINT (12.4722334 41.8345879),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
84,107132432,23322316.0,One Bar,4.5,16,1.0,POINT (12.4740094 41.8264266),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
100,60244728,5428346621.0,Ristorante Bisteccheria Albino,4.0,475,2.5,POINT (12.4371121 41.8200331),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
174,62488034,5730078084.0,Club House,3.0,8,1.0,POINT (12.4646864 41.8154964),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
315,128962989,119306551.0,Acquolina Pizzeria Torrino,3.5,26,1.0,POINT (12.4485885 41.8223599),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
355,111058678,35304363.0,Vito Magnamose 'N Pescetto,3.5,683,2.5,POINT (12.420905 41.8005731),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
383,122460463,97373201.0,Trattoria La Romana Pizzeria,3.5,13,2.5,POINT (12.4824649 41.8096219),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
386,109722101,29302832.0,Molo 10,4.5,9,1.0,POINT (12.4752317 41.7703833),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
441,109331663,31877757.0,Hill 23,4.5,5,1.0,POINT (12.4153616 41.7895897),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
522,128892774,119306581.0,Fabbri Al Torrino,3.0,1,1.0,POINT (12.4569327 41.8241126),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
617,107431344,27785635.0,Il Fungo - Quattordicesimo Piano,4.0,1343,4.0,POINT (12.4633979 41.8245769),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
689,177297828,318263055.0,Bar Tavola Calda Faeti,5.0,3,1.0,POINT (12.5235919 41.6953187),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
711,106711477,26153679.0,Vari Francesco,5.0,2,1.0,POINT (12.4410758 41.7800166),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
720,129041249,119431935.0,Osteria San Marzano,4.0,303,2.5,POINT (12.4921839 41.7929377),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
742,148845513,202723748.0,Ristorante Ai Due Cedri,4.0,59,4.0,POINT (12.5346364 41.7957639),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
743,130627466,128167847.0,Caffe Del Duca,4.0,4,1.0,POINT (12.4411457 41.7839818),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
757,208631427,490877634.0,Casa del Conte,4.5,128,2.5,POINT (12.560893 41.7613059),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
779,134576921,137060928.0,Pizza Elite,3.5,29,1.0,POINT (12.4494491 41.8067428),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
784,109554142,29467712.0,Cento&Uno,4.5,29,1.0,POINT (12.4098793 41.7899461),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
821,108500607,27786686.0,La Saccoccia,4.0,20,1.0,POINT (12.4446035 41.8083356),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII)
