,Unnamed: 0,url,place_id,osm_id,name,rating,total_reviews,price,geometry,index_right,cartodb_id,info,zone_e_rioni,quartieri,nome,cuisines,diets
0,0,https://www.tripadvisor.it/Restaurant_Review-g187791-d10005696-Reviews-Texas_Saloon-Rome_Lazio.html,146016014,190853584.0,Texas Saloon,3.5,789,2.5,POINT (12.429359229391224 41.80017805),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Americana, Steakhouse, Pizza, Mediterranea, Barbecue","Per vegetariani, Opzioni vegane, Opzioni senza glutine"
1,2,https://www.tripadvisor.it/Restaurant_Review-g187791-d10021003-Reviews-Pizza_Gege-Rome_Lazio.html,107132432,23322316.0,Pizza Gegè,4.0,74,1.0,POINT (12.4740094 41.8264266),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Pizza",Per vegetariani
2,23,https://www.tripadvisor.it/Restaurant_Review-g187791-d10044759-Reviews-Pizza_alla_Pala_L_Angoletto-Rome_Lazio.html,107281163,27528185.0,Pizza alla Pala L'Angoletto,3.5,4,1.0,POINT (12.4699624 41.7669096),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Cinese, Giapponese, Asiatica, Sushi",Per vegetariani
3,43,https://www.tripadvisor.it/Restaurant_Review-g187791-d10072879-Reviews-Queen_s_Restaurant-Rome_Lazio.html,139760549,159009107.0,Queen's Restaurant,4.0,56,2.5,POINT (12.4263197 41.7895865),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Mediterranea, Internazionale",Per vegetariani
4,53,https://www.tripadvisor.it/Restaurant_Review-g187791-d10086545-Reviews-Foodisfaction-Rome_Lazio.html,146016014,190853584.0,Foodisfaction,3.5,222,2.5,POINT (12.429359229391224 41.80017805),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Pizza, Pesce, Mediterranea, Romana, Laziale, Italiana (centro)","Per vegetariani, Opzioni vegane"
5,68,https://www.tripadvisor.it/Restaurant_Review-g187791-d1010878-Reviews-Checco_dello_Scapicollo-Rome_Lazio.html,247474412,735147204.0,Checco dello Scapicollo,3.5,1080,2.5,POINT (12.5008562 41.8077309),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Pesce, Mediterranea, Romana, Laziale","Per vegetariani, Opzioni senza glutine"
6,69,https://www.tripadvisor.it/Restaurant_Review-g187791-d1010879-Reviews-Columbus_Ristorante-Rome_Lazio.html,34699286,2897270432.0,Columbus Ristorante,3.0,69,1.0,POINT (12.4722334 41.8345879),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),Italiana,Per vegetariani
7,84,https://www.tripadvisor.it/Restaurant_Review-g187791-d10112768-Reviews-One_Bar-Rome_Lazio.html,107132432,23322316.0,One Bar,4.5,16,1.0,POINT (12.4740094 41.8264266),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Caffè, Mediterranea","Per vegetariani, Opzioni vegane"
8,100,https://www.tripadvisor.it/Restaurant_Review-g187791-d1012338-Reviews-Ristorante_Bisteccheria_Albino-Rome_Lazio.html,60244728,5428346621.0,Ristorante Bisteccheria Albino,4.0,475,2.5,POINT (12.4371121 41.8200331),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Steakhouse, Pizza, Mediterranea, Barbecue, Romana, Laziale, Italiana (centro)","Per vegetariani, Opzioni senza glutine"
9,174,https://www.tripadvisor.it/Restaurant_Review-g187791-d10202491-Reviews-Club_House-Rome_Lazio.html,62488034,5730078084.0,Club House,3.0,8,1.0,POINT (12.4646864 41.8154964),4,5,https://it.wikipedia.org/wiki/Municipio_Roma_IX,"Zone: Cecchignola, Castel di Leva, Fonte Ostiense, Vallerano, Castel di Decima, Torrino, Vitinia.","Quartieri: Ostiense, Giuliano Dalmata, Europa.",Municipio IX (ex XII),"Italiana, Pizza, Pesce",
